T1,T2,P,NP,NOTES
"Quadruplication   ",Inodourousness,YES,,
"Canonicals ","Animal husbandry   ",YES,,Interesting
"Sensibility   ","Beauty ",YES,,ajdfsfas
"Refusal  ",Resentment: anger,YES,,asdfasdf
"Refusal  ",Resentment: anger,YES,,asdfasdf
"Correspondence     ","Fewness   ",YES,,Notesarehere
"Content ","Affectation ",YES,,"wow, this is interesting"
"Confutation   ","Dupe   ",YES,,when will this be real
"Elevation     ","Variegation     ",YES,,this is a unique concept... hope to see it become real.
"Elevation     ","Variegation     ",YES,,"wow, this is interesting"
"Creative Thought  ","Plan ",YES,,this is interesting...
Fraction: less than one,"Innocence ",YES,,asldfkfa;slkdjfa
"Attraction  ","Resolution   ",YES,,
"Canonicals ",Improbity,YES,,;lkj;lkjkjkj
"Base ","Sequence   ",YES,,this is interesting￿!
"Loudness    ",Unsavouriness,YES,,￿Makes me think of heavy metal...
Zoology: the study of animals,"Dim-sightedness: imperfect vision   ",YES,,the the
"Secret  ",Debt,YES,,"￿￿Hmm, something that is a caution in relationships￿!"
"Misjudgment: prejudice  ","Mineral: inorganic matter  ",NO,,asdf
"Undertaking   ","Zero   ",YES,,sdfgds
Defiance,"Inaction ",YES,,adsfah
Zoology: the study of animals,"Beauty ",YES,,sdfgsdfg
"Continuity: uninterrupted sequence ","Nonpreparation   ",YES,,sdgsdfg
"Salubrity  ","Expansion ",NO,,sdfsdfg
Sweetness,"Covering ",YES,,asdfasdfasfasdfasdf
"Antagonism ","Velocity  ",YES,,￿There is a definite possibility here...
"Record   ","Humility: humiliation ",YES,,sdfgsdfg
"Space   ",Approach: motion towards,YES,,￿This is a thought ￿I would like to keep...
"Interlocution     ","Synchronism   ",NO,,"￿Same category, probably not..."
Treasurer,"Judge  ",YES,,there is really nothing here...
"Materials ","Interpretation   ",YES,,￿Hello there￿!
"Shortness ","Marriage ",YES,,￿there is a possibibility...
"Bubble    ",Outline,YES,,
"Tedium ","Identity    ",YES,,asdfasdffsdfasdf
"Redness   ","Means ",YES,,
"Existence    ","Divergence   ",YES,,have a look at this...
"Impossibility  ","Nonconformity   ",YES,,￿I have always felt this...
"Ascent: motion upwards   ","Moderation   ",YES,,"there can only be types of ascent with pulses of energy, i.e. moderation"
"Devil    ","Purity ",YES,,hmm. opposites with an irony. to achieve devil status; pure intention￿?
"Deputy  ","Inversion ",NO,,
"Exclusion  ","Summit ",YES,,￿Only the worthy shall pass...
"Overstepping: motion beyond ",Intellect: the exercise of the mind,YES,,￿￿￿U￿F￿O article set me up to receive this...
"1. MOTION IN GENERAL ","3. CENTRICAL DIMENSIONS ",YES,,hlkjhlk
"977. ANGEL ","30. COMPENSATION ",YES,,adfgsdfgsdf
"564. NOMENCLATURE ","211. BASE ",IR,,"￿Notes￿: ￿Hey, does this work￿?"
"150. STABILITY ","320. LEVITY ",YES,,￿There is a lot of potentil for this...
